CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
116	0	0		0
117	0	3	0.00	3
118	0	2	0.00	2
119	0	1	0.00	1
120	0	2	0.00	2
121	0	2	0.00	2
122	0	1	0.00	1
123	0	3	0.00	3
124	0	1	0.00	1
125	0	0		0
126	0	1	0.00	1
127	0	2	0.00	2
128	0	2	0.00	2
129	0	1	0.00	1
130	0	1	0.00	1
131	0	0		0
132	0	3	0.00	3
133	0	1	0.00	1
134	0	0		0
135	0	3	0.00	3
136	0	2	0.00	2
137	0	0		0
138	0	0		0
139	0	1	0.00	1
140	0	0		0
141	0	0		0
142	0	1	0.00	1
143	0	0		0
144	0	0		0
145	0	0		0
146	0	0		0
147	0	1	0.00	1
148	0	1	0.00	1
149	0	1	0.00	1

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	40	2.44	41
2	0	36	0.00	36
3	0	32	0.00	32
4	1	328	0.30	329
5	1	386	0.26	387
6	3	412	0.72	415
7	0	401	0.00	401
8	0	350	0.00	350
9	4	320	1.23	324
10	2	339	0.59	341
11	2	311	0.64	313
12	2	336	0.59	338
13	0	390	0.00	390
14	1	391	0.26	392
15	2	355	0.56	357
16	0	346	0.00	346
17	0	332	0.00	332
18	1	270	0.37	271
19	1	320	0.31	321
20	2	315	0.63	317
21	2	354	0.56	356
22	0	357	0.00	357
23	4	317	1.25	321
24	2	358	0.56	360
25	1	386	0.26	387
26	2	354	0.56	356
27	1	406	0.25	407
28	1	380	0.26	381
29	2	345	0.58	347
30	1	383	0.26	384
31	0	356	0.00	356
32	0	368	0.00	368
33	1	309	0.32	310
34	0	310	0.00	310
35	0	340	0.00	340
36	0	337	0.00	337
37	1	320	0.31	321
38	1	365	0.27	366
39	1	319	0.31	320
40	1	345	0.29	346
41	1	323	0.31	324
42	1	322	0.31	323
43	1	330	0.30	331
44	4	340	1.16	344
45	0	279	0.00	279
46	2	309	0.64	311
47	1	332	0.30	333
48	0	315	0.00	315
49	0	356	0.00	356
50	0	375	0.00	375
51	0	380	0.00	380
52	1	346	0.29	347
53	1	314	0.32	315
54	2	281	0.71	283
55	0	322	0.00	322
56	0	310	0.00	310
57	0	297	0.00	297
58	0	311	0.00	311
59	0	313	0.00	313
60	1	334	0.30	335
61	2	330	0.60	332
62	2	382	0.52	384
63	0	310	0.00	310
64	3	362	0.82	365
65	2	311	0.64	313
66	2	279	0.71	281
67	0	313	0.00	313
68	3	321	0.93	324
69	0	305	0.00	305
70	0	275	0.00	275
71	3	291	1.02	294
72	3	275	1.08	278
73	0	306	0.00	306
74	0	277	0.00	277
75	0	306	0.00	306
76	0	318	0.00	318
77	2	263	0.75	265
78	0	256	0.00	256
79	0	252	0.00	252
80	1	285	0.35	286
81	2	233	0.85	235
82	0	256	0.00	256
83	1	235	0.42	236
84	0	233	0.00	233
85	2	268	0.74	270
86	0	240	0.00	240
87	0	200	0.00	200
88	0	256	0.00	256
89	1	208	0.48	209
90	0	185	0.00	185
91	0	191	0.00	191
92	2	175	1.13	177
93	1	158	0.63	159
94	0	156	0.00	156
95	1	182	0.55	183
96	0	169	0.00	169
97	1	167	0.60	168
98	0	169	0.00	169
99	0	54	0.00	54
100	1	4	20.00	5
101	0	3	0.00	3
102	1	4	20.00	5
103	0	5	0.00	5
104	0	7	0.00	7
105	0	5	0.00	5
106	0	2	0.00	2
107	0	1	0.00	1
108	0	0		0
109	0	1	0.00	1
110	0	3	0.00	3
111	0	4	0.00	4
112	0	4	0.00	4
113	0	4	0.00	4
114	0	3	0.00	3
115	0	4	0.00	4
116	0	2	0.00	2
117	0	4	0.00	4
118	0	2	0.00	2
119	0	2	0.00	2
120	0	4	0.00	4
121	0	2	0.00	2
122	0	2	0.00	2
123	0	1	0.00	1
124	0	2	0.00	2
125	0	3	0.00	3
126	0	4	0.00	4
127	0	2	0.00	2
128	0	2	0.00	2
129	0	3	0.00	3
130	0	1	0.00	1
131	0	2	0.00	2
132	0	1	0.00	1
133	0	4	0.00	4
134	0	2	0.00	2
135	0	1	0.00	1
136	0	0		0
137	0	0		0
138	0	0		0
139	0	1	0.00	1
140	0	0		0
141	0	1	0.00	1
142	0	0		0
143	0	0		0
144	0	0		0
145	0	1	0.00	1
146	0	1	0.00	1
147	0	0		0
148	0	0		0
149	0	0		0

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	17	0.00	17
2	1	11	8.33	12
3	4	75	5.06	79
4	3	68	4.23	71
5	4	106	3.64	110
6	6	84	6.67	90
7	3	121	2.42	124
8	3	87	3.33	90
9	4	81	4.71	85
10	1	78	1.27	79
11	3	61	4.69	64
12	5	62	7.46	67
13	4	69	5.48	73
14	1	46	2.13	47
15	4	61	6.15	65
16	2	61	3.17	63
17	2	27	6.90	29
18	2	47	4.08	49
19	2	33	5.71	35
20	1	43	2.27	44
21	2	36	5.26	38
22	0	40	0.00	40
23	3	32	8.57	35
24	5	60	7.69	65
25	1	30	3.23	31
26	1	34	2.86	35
27	3	39	7.14	42
28	2	33	5.71	35
29	0	34	0.00	34
30	4	16	20.00	20
31	1	37	2.63	38
32	0	27	0.00	27
33	2	17	10.53	19
34	3	21	12.50	24
35	2	13	13.33	15
36	0	16	0.00	16
37	0	30	0.00	30
38	1	20	4.76	21
39	0	7	0.00	7
40	0	9	0.00	9
41	0	16	0.00	16
42	1	10	9.09	11
43	0	16	0.00	16
44	0	9	0.00	9
45	0	3	0.00	3
46	0	15	0.00	15
47	0	9	0.00	9
48	0	6	0.00	6
49	0	4	0.00	4
50	0	6	0.00	6
51	0	8	0.00	8
52	1	5	16.67	6
53	0	4	0.00	4
54	0	2	0.00	2
55	0	3	0.00	3
56	2	5	28.57	7
57	1	1	50.00	2
58	0	4	0.00	4
59	1	3	25.00	4
60	0	1	0.00	1
61	0	2	0.00	2
62	0	1	0.00	1
63	0	3	0.00	3
64	0	1	0.00	1
65	0	0		0
66	0	3	0.00	3
67	0	2	0.00	2
68	0	0		0
69	0	3	0.00	3
70	0	0		0
71	0	0		0
72	0	2	0.00	2
73	0	0		0
74	0	0		0
75	0	1	0.00	1
76	0	0		0
77	0	1	0.00	1
78	0	2	0.00	2
79	0	1	0.00	1
80	0	1	0.00	1
81	0	0		0
82	0	0		0
83	0	1	0.00	1
84	0	0		0
85	0	0		0
86	0	2	0.00	2
87	0	0		0
88	0	1	0.00	1
89	0	0		0
90	0	0		0
91	0	1	0.00	1
92	0	0		0
93	0	0		0
94	0	1	0.00	1
95	0	0		0
96	0	0		0

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	12	2120	0.56	2132
2	0	19	0.00	19
3	0	5	0.00	5
4	1	38	2.56	39
5	0	54	0.00	54
6	1	68	1.45	69
7	0	69	0.00	69
8	0	84	0.00	84
9	0	74	0.00	74
10	1	69	1.43	70
11	0	75	0.00	75
12	0	24	0.00	24
13	0	44	0.00	44
14	1	51	1.92	52
15	0	36	0.00	36
16	0	52	0.00	52
17	1	52	1.89	53
18	0	44	0.00	44
19	0	47	0.00	47
20	0	45	0.00	45
21	0	37	0.00	37
22	0	54	0.00	54
23	0	28	0.00	28
24	0	23	0.00	23
25	1	46	2.13	47
26	0	11	0.00	11
27	0	19	0.00	19
28	0	23	0.00	23
29	0	28	0.00	28
30	0	22	0.00	22
31	0	25	0.00	25
32	0	21	0.00	21
33	0	25	0.00	25
34	0	21	0.00	21
35	0	20	0.00	20
36	0	20	0.00	20
37	0	10	0.00	10
38	0	15	0.00	15
39	0	8	0.00	8
40	0	13	0.00	13
41	0	25	0.00	25
42	0	5	0.00	5
43	0	3	0.00	3
44	0	2	0.00	2
45	0	8	0.00	8
46	0	2	0.00	2
47	0	10	0.00	10
48	0	9	0.00	9
49	0	7	0.00	7
50	0	8	0.00	8
51	0	4	0.00	4
52	0	11	0.00	11
53	0	8	0.00	8
54	0	2	0.00	2
55	0	3	0.00	3
56	0	4	0.00	4
57	0	0		0
58	0	2	0.00	2
59	0	1	0.00	1
60	0	6	0.00	6
61	0	2	0.00	2
62	0	0		0
63	1	3	25.00	4
64	0	4	0.00	4
65	0	0		0
66	0	1	0.00	1
67	0	2	0.00	2
68	0	0		0
69	0	0		0
70	0	3	0.00	3
71	0	2	0.00	2
72	0	1	0.00	1
73	0	3	0.00	3
74	0	0		0
75	0	0		0
76	0	0		0
77	0	0		0
78	0	0		0
79	0	1	0.00	1
80	0	0		0
81	0	1	0.00	1
82	0	0		0
83	0	0		0
84	0	1	0.00	1
85	0	0		0
86	0	0		0
87	0	0		0
88	0	0		0
89	0	2	0.00	2
90	0	0		0
91	0	0		0
92	0	0		0
93	0	0		0
94	0	0		0
95	0	1	0.00	1
96	0	0		0

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	9	0.00	9
2	4	931	0.43	935
3	0	251	0.00	251
4	0	182	0.00	182
5	0	131	0.00	131
6	0	93	0.00	93
7	0	102	0.00	102
8	0	132	0.00	132
9	0	112	0.00	112
10	0	124	0.00	124
11	0	83	0.00	83
12	0	75	0.00	75
13	1	58	1.69	59
14	1	85	1.16	86
15	0	68	0.00	68
16	0	60	0.00	60
17	0	67	0.00	67
18	0	71	0.00	71
19	0	65	0.00	65
20	0	34	0.00	34
21	1	47	2.08	48
22	0	40	0.00	40
23	0	47	0.00	47
24	0	45	0.00	45
25	0	45	0.00	45
26	0	29	0.00	29
27	0	26	0.00	26
28	0	31	0.00	31
29	0	31	0.00	31
30	0	30	0.00	30
31	0	32	0.00	32
32	0	34	0.00	34
33	0	19	0.00	19
34	0	24	0.00	24
35	0	31	0.00	31
36	0	23	0.00	23
37	0	18	0.00	18
38	0	20	0.00	20
39	0	9	0.00	9
40	0	12	0.00	12
41	0	16	0.00	16
42	0	26	0.00	26
43	0	21	0.00	21
44	1	20	4.76	21
45	0	8	0.00	8
46	0	7	0.00	7
47	0	12	0.00	12
48	0	9	0.00	9
49	0	9	0.00	9
50	0	4	0.00	4
51	0	11	0.00	11
52	0	13	0.00	13
53	0	8	0.00	8
54	0	14	0.00	14
55	0	7	0.00	7
56	0	7	0.00	7
57	0	5	0.00	5
58	0	5	0.00	5
59	0	3	0.00	3
60	0	1	0.00	1
61	0	2	0.00	2
62	0	3	0.00	3
63	0	1	0.00	1
64	0	1	0.00	1
65	0	2	0.00	2
66	0	0		0
67	0	1	0.00	1
68	0	2	0.00	2
69	0	2	0.00	2
70	0	0		0
71	0	1	0.00	1
72	0	1	0.00	1
73	0	0		0
74	0	1	0.00	1
75	0	2	0.00	2
76	0	1	0.00	1
77	0	1	0.00	1
78	0	1	0.00	1
79	0	0		0
80	0	0		0
81	0	0		0
82	0	0		0
83	0	0		0
84	0	0		0
85	0	0		0
86	0	1	0.00	1
87	0	0		0
88	0	0		0
89	0	1	0.00	1
90	0	1	0.00	1
91	0	0		0
92	0	0		0
93	0	0		0
94	0	1	0.00	1
95	0	0		0
96	0	1	0.00	1

